,,Attachability,Detachability,Controllability
RCHDA,1,-9.1236125,22.54230255,363.5054015
RPHEDA,2,-12.5315115,3.0511801,349.1889472
PHEA,3,-25.7170185,34.28031437,15.41358094
iOct,4,-23.430208,59.89203514,-24.26528814
Reth,5,-59.7747585,39.57697219,336.2365872
2ME-m-PHEDA,6,-13.1826355,5.462423124,348.749594
ME-EDA,7,-5.644825001,22.75875221,357.2621757
mOHPHEA,8,-24.0051925,64.1513843,22.59241443
ene_DA,9,-3.772843501,20.40748999,364.7044518
OH-RPHEDA,10,-7.401284501,3.707681916,346.2530324
DiME-EDA,11,-2.3340695,24.65547985,359.8547576
MPHEA,12,-23.7058855,44.67710436,16.126655
RoDA,13,-6.046526501,21.4104159,366.6583201
13RCHDA,14,-69.675519,46.59388109,123.9224599
ET-EDA,15,-6.786917502,22.29612751,355.7008753
CPA,16,-31.233194,50.76972224,-82.2192133
RCPDA,17,-27.8381765,20.29206297,359.0761984
ET-ME-EDA,18,-13.3926755,22.21516174,352.4440329
2ME-ET-EDA,19,-7.50893,21.76735936,357.1483048
pOHPHEA,20,-22.359004,38.61457729,11.28050591
